pokedex number,branch code,name,generation,type1,type2,number of types,sprites
0028,28_1,sandslash-alolan,7,ice,steel,2,https://img.pokemondb.net/sprites/home/normal/sandslash-alolan.png
0029,29_0,nidoran-f,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidoran-f.png
0030,30_0,nidorina,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidorina.png
0031,31_0,nidoqueen,1,poison,ground,2,https://img.pokemondb.net/sprites/home/normal/nidoqueen.png
0032,32_0,nidoran-m,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidoran-m.png
0033,33_0,nidorino,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidorino.png
0034,34_0,nidoking,1,poison,ground,2,https://img.pokemondb.net/sprites/home/normal/nidoking.png
0035,35_0,clefairy,1,fairy,,1,https://img.pokemondb.net/sprites/home/normal/clefairy.png
0036,36_0,clefable,1,fairy,,1,https://img.pokemondb.net/sprites/home/normal/clefable.png
0037,37_0,vulpix,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/vulpix.png
0037,37_1,vulpix-alolan,7,ice,,1,https://img.pokemondb.net/sprites/home/normal/vulpix-alolan.png
0038,38_0,ninetales,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/ninetales.png
0038,38_1,ninetales-alolan,7,ice,fairy,2,https://img.pokemondb.net/sprites/home/normal/ninetales-alolan.png
0039,39_0,jigglypuff,1,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/jigglypuff.png
0040,40_0,wigglytuff,1,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/wigglytuff.png
0041,41_0,zubat,1,poison,flying,2,https://img.pokemondb.net/sprites/home/normal/zubat.png
0042,42_0,golbat,1,poison,flying,2,https://img.pokemondb.net/sprites/home/normal/golbat.png
0043,43_0,oddish,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/oddish.png
0044,44_0,gloom,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/gloom.png
0045,45_0,vileplume,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/vileplume.png
0046,46_0,paras,1,bug,grass,2,https://img.pokemondb.net/sprites/home/normal/paras.png
0047,47_0,parasect,1,bug,grass,2,https://img.pokemondb.net/sprites/home/normal/parasect.png
0048,48_0,venonat,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/venonat.png
0049,49_0,venomoth,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/venomoth.png
0050,50_0,diglett,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/diglett.png
0050,50_1,diglett-alolan,7,ground,steel,2,https://img.pokemondb.net/sprites/home/normal/diglett-alolan.png
0051,51_0,dugtrio,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/dugtrio.png
0051,51_1,dugtrio-alolan,7,ground,steel,2,https://img.pokemondb.net/sprites/home/normal/dugtrio-alolan.png
0052,52_0,meowth,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/meowth.png
0052,52_1,meowth-alolan,7,dark,,1,https://img.pokemondb.net/sprites/home/normal/meowth-alolan.png
0052,52_2,meowth-galarian,8,steel,,1,https://img.pokemondb.net/sprites/home/normal/meowth-galarian.png
0053,53_0,persian,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/persian.png
0053,53_1,persian-alolan,7,dark,,1,https://img.pokemondb.net/sprites/home/normal/persian-alolan.png
0054,54_0,psyduck,1,water,,1,https://img.pokemondb.net/sprites/home/normal/psyduck.png
0055,55_0,golduck,1,water,,1,https://img.pokemondb.net/sprites/home/normal/golduck.png
0056,56_0,mankey,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/mankey.png
0057,57_0,primeape,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/primeape.png
0058,58_0,growlithe,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/growlithe.png
0058,58_1,growlithe-hisuian,8,fire,rock,2,https://img.pokemondb.net/sprites/home/normal/growlithe-hisuian.png
0059,59_0,arcanine,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/arcanine.png
0059,59_1,arcanine-hisuian,8,fire,rock,2,https://img.pokemondb.net/sprites/home/normal/arcanine-hisuian.png
0060,60_0,poliwag,1,water,,1,https://img.pokemondb.net/sprites/home/normal/poliwag.png
0061,61_0,poliwhirl,1,water,,1,https://img.pokemondb.net/sprites/home/normal/poliwhirl.png
0062,62_0,poliwrath,1,water,fighting,2,https://img.pokemondb.net/sprites/home/normal/poliwrath.png
0063,63_0,abra,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/abra.png
0064,64_0,kadabra,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/kadabra.png
0065,65_0,alakazam,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/alakazam.png
0066,66_0,machop,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/machop.png
0067,67_0,machoke,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/machoke.png
0068,68_0,machamp,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/machamp.png
0069,69_0,bellsprout,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/bellsprout.png
0070,70_0,weepinbell,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/weepinbell.png
0071,71_0,victreebel,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/victreebel.png
0072,72_0,tentacool,1,water,poison,2,https://img.pokemondb.net/sprites/home/normal/tentacool.png
0073,73_0,tentacruel,1,water,poison,2,https://img.pokemondb.net/sprites/home/normal/tentacruel.png
0074,74_0,geodude,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/geodude.png
0074,74_1,geodude-alolan,7,rock,electric,2,https://img.pokemondb.net/sprites/home/normal/geodude-alolan.png
0075,75_0,graveler,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/graveler.png
0075,75_1,graveler-alolan,7,rock,electric,2,https://img.pokemondb.net/sprites/home/normal/graveler-alolan.png
0076,76_0,golem,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/golem.png
0076,76_1,golem-alolan,7,rock,electric,2,https://img.pokemondb.net/sprites/home/normal/golem-alolan.png
0077,77_0,ponyta,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/ponyta.png
0077,77_1,ponyta-galarian,8,psychic,,1,https://img.pokemondb.net/sprites/home/normal/ponyta-galarian.png
0078,78_0,rapidash,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/rapidash.png
0078,78_1,rapidash-galarian,8,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/rapidash-galarian.png
0079,79_0,slowpoke,1,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowpoke.png
0079,79_1,slowpoke-galarian,8,psychic,,1,https://img.pokemondb.net/sprites/home/normal/slowpoke-galarian.png
0080,80_0,slowbro,1,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowbro.png
0080,80_1,slowbro-galarian,8,poison,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowbro-galarian.png
0081,81_0,magnemite,1,electric,steel,2,https://img.pokemondb.net/sprites/home/normal/magnemite.png
0082,82_0,magneton,1,electric,steel,2,https://img.pokemondb.net/sprites/home/normal/magneton.png
0083,83_0,farfetchd,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/farfetchd.png
0083,83_1,farfetchd-galarian,8,fighting,,1,https://img.pokemondb.net/sprites/home/normal/farfetchd-galarian.png
0084,84_0,doduo,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/doduo.png
0085,85_0,dodrio,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/dodrio.png
0086,86_0,seel,1,water,,1,https://img.pokemondb.net/sprites/home/normal/seel.png
0087,87_0,dewgong,1,water,ice,2,https://img.pokemondb.net/sprites/home/normal/dewgong.png
0088,88_0,grimer,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/grimer.png
0088,88_1,grimer-alolan,7,poison,dark,2,https://img.pokemondb.net/sprites/home/normal/grimer-alolan.png
0089,89_0,muk,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/muk.png
0089,89_1,muk-alolan,7,poison,dark,2,https://img.pokemondb.net/sprites/home/normal/muk-alolan.png
0090,90_0,shellder,1,water,,1,https://img.pokemondb.net/sprites/home/normal/shellder.png
0091,91_0,cloyster,1,water,ice,2,https://img.pokemondb.net/sprites/home/normal/cloyster.png
0092,92_0,gastly,1,ghost,poison,2,https://img.pokemondb.net/sprites/home/normal/gastly.png
0093,93_0,haunter,1,ghost,poison,2,https://img.pokemondb.net/sprites/home/normal/haunter.png
0094,94_0,gengar,1,ghost,poison,2,https://img.pokemondb.net/sprites/home/normal/gengar.png
0095,95_0,onix,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/onix.png
0096,96_0,drowzee,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/drowzee.png
0097,97_0,hypno,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/hypno.png
0098,98_0,krabby,1,water,,1,https://img.pokemondb.net/sprites/home/normal/krabby.png
0099,99_0,kingler,1,water,,1,https://img.pokemondb.net/sprites/home/normal/kingler.png
0100,100_0,voltorb,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/voltorb.png
0100,100_1,voltorb-hisuian,8,electric,grass,2,https://img.pokemondb.net/sprites/home/normal/voltorb-hisuian.png
0101,101_0,electrode,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/electrode.png
0101,101_1,electrode-hisuian,8,electric,grass,2,https://img.pokemondb.net/sprites/home/normal/electrode-hisuian.png
0102,102_0,exeggcute,1,grass,psychic,2,https://img.pokemondb.net/sprites/home/normal/exeggcute.png
0103,103_0,exeggutor,1,grass,psychic,2,https://img.pokemondb.net/sprites/home/normal/exeggutor.png
0103,103_1,exeggutor-alolan,7,grass,dragon,2,https://img.pokemondb.net/sprites/home/normal/exeggutor-alolan.png
0104,104_0,cubone,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/cubone.png
0105,105_0,marowak,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/marowak.png
0105,105_1,marowak-alolan,7,fire,ghost,2,https://img.pokemondb.net/sprites/home/normal/marowak-alolan.png
0106,106_0,hitmonlee,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hitmonlee.png
0107,107_0,hitmonchan,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hitmonchan.png
0108,108_0,lickitung,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/lickitung.png
0109,109_0,koffing,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/koffing.png
0110,110_0,weezing,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/weezing.png
0110,110_1,weezing-galarian,8,poison,fairy,2,https://img.pokemondb.net/sprites/home/normal/weezing-galarian.png
0111,111_0,rhyhorn,1,ground,rock,2,https://img.pokemondb.net/sprites/home/normal/rhyhorn.png
0112,112_0,rhydon,1,ground,rock,2,https://img.pokemondb.net/sprites/home/normal/rhydon.png
0113,113_0,chansey,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/chansey.png
0114,114_0,tangela,1,grass,,1,https://img.pokemondb.net/sprites/home/normal/tangela.png
0115,115_0,kangaskhan,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/kangaskhan.png
0116,116_0,horsea,1,water,,1,https://img.pokemondb.net/sprites/home/normal/horsea.png
0117,117_0,seadra,1,water,,1,https://img.pokemondb.net/sprites/home/normal/seadra.png
0118,118_0,goldeen,1,water,,1,https://img.pokemondb.net/sprites/home/normal/goldeen.png
0119,119_0,seaking,1,water,,1,https://img.pokemondb.net/sprites/home/normal/seaking.png
0120,120_0,staryu,1,water,,1,https://img.pokemondb.net/sprites/home/normal/staryu.png
0121,121_0,starmie,1,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/starmie.png
0122,122_0,mr-mime,1,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/mr-mime.png
0122,122_1,mr-mime-galarian,8,ice,psychic,2,https://img.pokemondb.net/sprites/home/normal/mr-mime-galarian.png
0123,123_0,scyther,1,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/scyther.png
0124,124_0,jynx,1,ice,psychic,2,https://img.pokemondb.net/sprites/home/normal/jynx.png
0125,125_0,electabuzz,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/electabuzz.png
0126,126_0,magmar,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/magmar.png
0127,127_0,pinsir,1,bug,,1,https://img.pokemondb.net/sprites/home/normal/pinsir.png
0128,128_0,tauros,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/tauros.png
0128,128_1,tauros-paldean,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/tauros-paldean.png
0128,128_2,tauros-paldean,9,fighting,fire,2,https://img.pokemondb.net/sprites/home/normal/tauros-paldean.png
0128,128_3,tauros-paldean,9,fighting,water,2,https://img.pokemondb.net/sprites/home/normal/tauros-paldean.png
0129,129_0,magikarp,1,water,,1,https://img.pokemondb.net/sprites/home/normal/magikarp.png
0130,130_0,gyarados,1,water,flying,2,https://img.pokemondb.net/sprites/home/normal/gyarados.png
0131,131_0,lapras,1,water,ice,2,https://img.pokemondb.net/sprites/home/normal/lapras.png
0132,132_0,ditto,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/ditto.png
0133,133_0,eevee,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/eevee.png
0134,134_0,vaporeon,1,water,,1,https://img.pokemondb.net/sprites/home/normal/vaporeon.png
0135,135_0,jolteon,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/jolteon.png
0136,136_0,flareon,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/flareon.png
0137,137_0,porygon,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/porygon.png
0138,138_0,omanyte,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/omanyte.png
0139,139_0,omastar,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/omastar.png
0140,140_0,kabuto,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/kabuto.png
0141,141_0,kabutops,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/kabutops.png
0142,142_0,aerodactyl,1,rock,flying,2,https://img.pokemondb.net/sprites/home/normal/aerodactyl.png
0143,143_0,snorlax,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/snorlax.png
0144,144_0,articuno,1,ice,flying,2,https://img.pokemondb.net/sprites/home/normal/articuno.png
0144,144_1,articuno-galarian,8,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/articuno-galarian.png
0145,145_0,zapdos,1,electric,flying,2,https://img.pokemondb.net/sprites/home/normal/zapdos.png
0145,145_1,zapdos-galarian,8,fighting,flying,2,https://img.pokemondb.net/sprites/home/normal/zapdos-galarian.png
0146,146_0,moltres,1,fire,flying,2,https://img.pokemondb.net/sprites/home/normal/moltres.png
0146,146_1,moltres-galarian,8,dark,flying,2,https://img.pokemondb.net/sprites/home/normal/moltres-galarian.png
0147,147_0,dratini,1,dragon,,1,https://img.pokemondb.net/sprites/home/normal/dratini.png
0148,148_0,dragonair,1,dragon,,1,https://img.pokemondb.net/sprites/home/normal/dragonair.png
0149,149_0,dragonite,1,dragon,flying,2,https://img.pokemondb.net/sprites/home/normal/dragonite.png
0150,150_0,mewtwo,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/mewtwo.png
0151,151_0,mew,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/mew.png
0152,152_0,chikorita,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/chikorita.png
0153,153_0,bayleef,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/bayleef.png
0154,154_0,meganium,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/meganium.png
0155,155_0,cyndaquil,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/cyndaquil.png
0156,156_0,quilava,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/quilava.png
0157,157_0,typhlosion,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/typhlosion.png
0157,157_1,typhlosion-hisuian,8,fire,ghost,2,https://img.pokemondb.net/sprites/home/normal/typhlosion-hisuian.png
0158,158_0,totodile,2,water,,1,https://img.pokemondb.net/sprites/home/normal/totodile.png
0159,159_0,croconaw,2,water,,1,https://img.pokemondb.net/sprites/home/normal/croconaw.png
0160,160_0,feraligatr,2,water,,1,https://img.pokemondb.net/sprites/home/normal/feraligatr.png
0161,161_0,sentret,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/sentret.png
0162,162_0,furret,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/furret.png
0163,163_0,hoothoot,2,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/hoothoot.png
0164,164_0,noctowl,2,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/noctowl.png
0165,165_0,ledyba,2,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/ledyba.png
0166,166_0,ledian,2,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/ledian.png
0167,167_0,spinarak,2,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/spinarak.png
0168,168_0,ariados,2,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/ariados.png
0169,169_0,crobat,2,poison,flying,2,https://img.pokemondb.net/sprites/home/normal/crobat.png
0170,170_0,chinchou,2,water,electric,2,https://img.pokemondb.net/sprites/home/normal/chinchou.png
0171,171_0,lanturn,2,water,electric,2,https://img.pokemondb.net/sprites/home/normal/lanturn.png
0172,172_0,pichu,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/pichu.png
0173,173_0,cleffa,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/cleffa.png
0174,174_0,igglybuff,2,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/igglybuff.png
0175,175_0,togepi,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/togepi.png
0176,176_0,togetic,2,fairy,flying,2,https://img.pokemondb.net/sprites/home/normal/togetic.png
0177,177_0,natu,2,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/natu.png
0178,178_0,xatu,2,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/xatu.png
0179,179_0,mareep,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/mareep.png
0180,180_0,flaaffy,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/flaaffy.png
0181,181_0,ampharos,2,electric,,1,https://img.pokemondb.net/sprites/home/normal/ampharos.png
0182,182_0,bellossom,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/bellossom.png
0183,183_0,marill,2,water,fairy,2,https://img.pokemondb.net/sprites/home/normal/marill.png
0184,184_0,azumarill,2,water,fairy,2,https://img.pokemondb.net/sprites/home/normal/azumarill.png
0185,185_0,sudowoodo,2,rock,,1,https://img.pokemondb.net/sprites/home/normal/sudowoodo.png
0186,186_0,politoed,2,water,,1,https://img.pokemondb.net/sprites/home/normal/politoed.png
0187,187_0,hoppip,2,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/hoppip.png
0188,188_0,skiploom,2,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/skiploom.png
0189,189_0,jumpluff,2,grass,flying,2,https://img.pokemondb.net/sprites/home/normal/jumpluff.png
0190,190_0,aipom,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/aipom.png
0191,191_0,sunkern,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/sunkern.png
0192,192_0,sunflora,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/sunflora.png
0193,193_0,yanma,2,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/yanma.png
0194,194_0,wooper-paldean,9,poison,ground,2,https://img.pokemondb.net/sprites/home/normal/wooper-paldean.png
0194,194_1,wooper,2,water,ground,2,https://img.pokemondb.net/sprites/home/normal/wooper.png
0195,195_0,quagsire,2,water,ground,2,https://img.pokemondb.net/sprites/home/normal/quagsire.png
0196,196_0,espeon,2,psychic,,1,https://img.pokemondb.net/sprites/home/normal/espeon.png
0197,197_0,umbreon,2,dark,,1,https://img.pokemondb.net/sprites/home/normal/umbreon.png
0198,198_0,murkrow,2,dark,flying,2,https://img.pokemondb.net/sprites/home/normal/murkrow.png
0199,199_0,slowking,2,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowking.png
0199,199_1,slowking-galarian,8,poison,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowking-galarian.png
0200,200_0,misdreavus,2,ghost,,1,https://img.pokemondb.net/sprites/home/normal/misdreavus.png
0201,201_0,unown,2,psychic,,1,https://img.pokemondb.net/sprites/home/normal/unown.png
0202,202_0,wobbuffet,2,psychic,,1,https://img.pokemondb.net/sprites/home/normal/wobbuffet.png
0203,203_0,girafarig,2,normal,psychic,2,https://img.pokemondb.net/sprites/home/normal/girafarig.png
0204,204_0,pineco,2,bug,,1,https://img.pokemondb.net/sprites/home/normal/pineco.png
0205,205_0,forretress,2,bug,steel,2,https://img.pokemondb.net/sprites/home/normal/forretress.png
0206,206_0,dunsparce,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/dunsparce.png
0207,207_0,gligar,2,ground,flying,2,https://img.pokemondb.net/sprites/home/normal/gligar.png
0208,208_0,steelix,2,steel,ground,2,https://img.pokemondb.net/sprites/home/normal/steelix.png
0209,209_0,snubbull,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/snubbull.png
0210,210_0,granbull,2,fairy,,1,https://img.pokemondb.net/sprites/home/normal/granbull.png
0211,211_0,qwilfish,2,water,poison,2,https://img.pokemondb.net/sprites/home/normal/qwilfish.png
0211,211_1,qwilfish-hisuian,8,dark,poison,2,https://img.pokemondb.net/sprites/home/normal/qwilfish-hisuian.png
0212,212_0,scizor,2,bug,steel,2,https://img.pokemondb.net/sprites/home/normal/scizor.png
0213,213_0,shuckle,2,bug,rock,2,https://img.pokemondb.net/sprites/home/normal/shuckle.png
0214,214_0,heracross,2,bug,fighting,2,https://img.pokemondb.net/sprites/home/normal/heracross.png
0215,215_0,sneasel,2,dark,ice,2,https://img.pokemondb.net/sprites/home/normal/sneasel.png
0215,215_1,sneasel-hisuian,8,fighting,poison,2,https://img.pokemondb.net/sprites/home/normal/sneasel-hisuian.png
0216,216_0,teddiursa,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/teddiursa.png
0217,217_0,ursaring,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/ursaring.png
0218,218_0,slugma,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/slugma.png
0219,219_0,magcargo,2,fire,rock,2,https://img.pokemondb.net/sprites/home/normal/magcargo.png
0220,220_0,swinub,2,ice,ground,2,https://img.pokemondb.net/sprites/home/normal/swinub.png
0221,221_0,piloswine,2,ice,ground,2,https://img.pokemondb.net/sprites/home/normal/piloswine.png
0222,222_0,corsola,2,water,rock,2,https://img.pokemondb.net/sprites/home/normal/corsola.png
0222,222_1,corsola-galarian,8,ghost,,1,https://img.pokemondb.net/sprites/home/normal/corsola-galarian.png
0223,223_0,remoraid,2,water,,1,https://img.pokemondb.net/sprites/home/normal/remoraid.png
0224,224_0,octillery,2,water,,1,https://img.pokemondb.net/sprites/home/normal/octillery.png
0225,225_0,delibird,2,ice,flying,2,https://img.pokemondb.net/sprites/home/normal/delibird.png
0226,226_0,mantine,2,water,flying,2,https://img.pokemondb.net/sprites/home/normal/mantine.png
0227,227_0,skarmory,2,steel,flying,2,https://img.pokemondb.net/sprites/home/normal/skarmory.png
0228,228_0,houndour,2,dark,fire,2,https://img.pokemondb.net/sprites/home/normal/houndour.png
0229,229_0,houndoom,2,dark,fire,2,https://img.pokemondb.net/sprites/home/normal/houndoom.png
0230,230_0,kingdra,2,water,dragon,2,https://img.pokemondb.net/sprites/home/normal/kingdra.png
0231,231_0,phanpy,2,ground,,1,https://img.pokemondb.net/sprites/home/normal/phanpy.png
0232,232_0,donphan,2,ground,,1,https://img.pokemondb.net/sprites/home/normal/donphan.png
0233,233_0,porygon2,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/porygon2.png
0234,234_0,stantler,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/stantler.png
0235,235_0,smeargle,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/smeargle.png
0236,236_0,tyrogue,2,fighting,,1,https://img.pokemondb.net/sprites/home/normal/tyrogue.png
0237,237_0,hitmontop,2,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hitmontop.png
