pokedex number,branch code,name,generation,type1,type2,number of types,sprites,basic_color,sprite dominant color
52,52_1,meowth-alolan,7,dark,,1,https://img.pokemondb.net/sprites/home/normal/meowth-alolan.png,"[31, 16, 8]",[176 183 200]
52,52_2,meowth-galarian,8,steel,,1,https://img.pokemondb.net/sprites/home/normal/meowth-galarian.png,"[170, 170, 170]",[173 164 151]
53,53_0,persian,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/persian.png,"[211, 211, 211]",[207 202 160]
53,53_1,persian-alolan,7,dark,,1,https://img.pokemondb.net/sprites/home/normal/persian-alolan.png,"[31, 16, 8]",[173 178 199]
54,54_0,psyduck,1,water,,1,https://img.pokemondb.net/sprites/home/normal/psyduck.png,"[4, 124, 201]",[211 206 182]
55,55_0,golduck,1,water,,1,https://img.pokemondb.net/sprites/home/normal/golduck.png,"[4, 124, 201]",[112 157 212]
56,56_0,mankey,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/mankey.png,"[136, 84, 11]",[220 210 200]
57,57_0,primeape,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/primeape.png,"[136, 84, 11]",[211 206 198]
58,58_0,growlithe,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/growlithe.png,"[255, 0, 0]",[217 203 188]
58,58_1,growlithe-hisuian,8,fire,rock,2,https://img.pokemondb.net/sprites/home/normal/growlithe-hisuian.png,"[255, 0, 0]",[210 203 197]
59,59_0,arcanine,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/arcanine.png,"[255, 0, 0]",[217 202 183]
59,59_1,arcanine-hisuian,8,fire,rock,2,https://img.pokemondb.net/sprites/home/normal/arcanine-hisuian.png,"[255, 0, 0]",[122 121 112]
60,60_0,poliwag,1,water,,1,https://img.pokemondb.net/sprites/home/normal/poliwag.png,"[4, 124, 201]",[120 157 188]
61,61_0,poliwhirl,1,water,,1,https://img.pokemondb.net/sprites/home/normal/poliwhirl.png,"[4, 124, 201]",[143 167 188]
62,62_0,poliwrath,1,water,fighting,2,https://img.pokemondb.net/sprites/home/normal/poliwrath.png,"[4, 124, 201]",[143 167 188]
63,63_0,abra,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/abra.png,"[255, 105, 180]",[198 171  59]
64,64_0,kadabra,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/kadabra.png,"[255, 105, 180]",[191 161  75]
65,65_0,alakazam,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/alakazam.png,"[255, 105, 180]",[143 110  94]
66,66_0,machop,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/machop.png,"[136, 84, 11]",[152 183 190]
67,67_0,machoke,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/machoke.png,"[136, 84, 11]",[186 192 209]
68,68_0,machamp,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/machamp.png,"[136, 84, 11]",[167 187 204]
69,69_0,bellsprout,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/bellsprout.png,"[0, 100, 0]",[177 153 156]
70,70_0,weepinbell,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/weepinbell.png,"[0, 100, 0]",[168 203 148]
71,71_0,victreebel,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/victreebel.png,"[0, 100, 0]",[164 207 141]
72,72_0,tentacool,1,water,poison,2,https://img.pokemondb.net/sprites/home/normal/tentacool.png,"[4, 124, 201]",[172 203 205]
73,73_0,tentacruel,1,water,poison,2,https://img.pokemondb.net/sprites/home/normal/tentacruel.png,"[4, 124, 201]",[166 153 149]
74,74_0,geodude,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/geodude.png,"[128, 109, 0]",[161 161 154]
74,74_1,geodude-alolan,7,rock,electric,2,https://img.pokemondb.net/sprites/home/normal/geodude-alolan.png,"[128, 109, 0]",[158 168 182]
75,75_0,graveler,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/graveler.png,"[128, 109, 0]",[150 152 143]
75,75_1,graveler-alolan,7,rock,electric,2,https://img.pokemondb.net/sprites/home/normal/graveler-alolan.png,"[128, 109, 0]",[147 157 157]
76,76_0,golem,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/golem.png,"[128, 109, 0]",[152 144 137]
76,76_1,golem-alolan,7,rock,electric,2,https://img.pokemondb.net/sprites/home/normal/golem-alolan.png,"[128, 109, 0]",[158 158 152]
77,77_0,ponyta,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/ponyta.png,"[255, 0, 0]",[206 202 159]
77,77_1,ponyta-galarian,8,psychic,,1,https://img.pokemondb.net/sprites/home/normal/ponyta-galarian.png,"[255, 105, 180]",[195 183 208]
78,78_0,rapidash,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/rapidash.png,"[255, 0, 0]",[222 213 121]
78,78_1,rapidash-galarian,8,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/rapidash-galarian.png,"[255, 105, 180]",[210 200 218]
79,79_0,slowpoke,1,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowpoke.png,"[4, 124, 201]",[214 210 211]
79,79_1,slowpoke-galarian,8,psychic,,1,https://img.pokemondb.net/sprites/home/normal/slowpoke-galarian.png,"[255, 105, 180]",[222 176 200]
80,80_0,slowbro,1,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowbro.png,"[4, 124, 201]",[214 167 176]
80,80_1,slowbro-galarian,8,poison,psychic,2,https://img.pokemondb.net/sprites/home/normal/slowbro-galarian.png,"[97, 64, 81]",[211 154 187]
81,81_0,magnemite,1,electric,steel,2,https://img.pokemondb.net/sprites/home/normal/magnemite.png,"[255, 255, 0]",[203 212 214]
82,82_0,magneton,1,electric,steel,2,https://img.pokemondb.net/sprites/home/normal/magneton.png,"[255, 255, 0]",[160 175 186]
83,83_0,farfetchd,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/farfetchd.png,"[211, 211, 211]",[180 159 141]
83,83_1,farfetchd-galarian,8,fighting,,1,https://img.pokemondb.net/sprites/home/normal/farfetchd-galarian.png,"[136, 84, 11]",[128 126 115]
84,84_0,doduo,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/doduo.png,"[211, 211, 211]",[207 189 168]
85,85_0,dodrio,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/dodrio.png,"[211, 211, 211]",[207 191 178]
86,86_0,seel,1,water,,1,https://img.pokemondb.net/sprites/home/normal/seel.png,"[4, 124, 201]",[195 199 209]
87,87_0,dewgong,1,water,ice,2,https://img.pokemondb.net/sprites/home/normal/dewgong.png,"[4, 124, 201]",[210 210 215]
88,88_0,grimer,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/grimer.png,"[97, 64, 81]",[158 157 195]
88,88_1,grimer-alolan,7,poison,dark,2,https://img.pokemondb.net/sprites/home/normal/grimer-alolan.png,"[97, 64, 81]",[100 144 131]
89,89_0,muk,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/muk.png,"[97, 64, 81]",[ 95  95 163]
89,89_1,muk-alolan,7,poison,dark,2,https://img.pokemondb.net/sprites/home/normal/muk-alolan.png,"[97, 64, 81]",[ 95 135 150]
90,90_0,shellder,1,water,,1,https://img.pokemondb.net/sprites/home/normal/shellder.png,"[4, 124, 201]",[176 172 207]
91,91_0,cloyster,1,water,ice,2,https://img.pokemondb.net/sprites/home/normal/cloyster.png,"[4, 124, 201]",[169 170 203]
92,92_0,gastly,1,ghost,poison,2,https://img.pokemondb.net/sprites/home/normal/gastly.png,"[25, 25, 112]",[112  81 116]
93,93_0,haunter,1,ghost,poison,2,https://img.pokemondb.net/sprites/home/normal/haunter.png,"[25, 25, 112]",[111  98 150]
94,94_0,gengar,1,ghost,poison,2,https://img.pokemondb.net/sprites/home/normal/gengar.png,"[25, 25, 112]",[114 101 152]
95,95_0,onix,1,rock,ground,2,https://img.pokemondb.net/sprites/home/normal/onix.png,"[128, 109, 0]",[158 162 163]
96,96_0,drowzee,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/drowzee.png,"[255, 105, 180]",[112  57  31]
97,97_0,hypno,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/hypno.png,"[255, 105, 180]",[211 210 204]
98,98_0,krabby,1,water,,1,https://img.pokemondb.net/sprites/home/normal/krabby.png,"[4, 124, 201]",[209 173 142]
99,99_0,kingler,1,water,,1,https://img.pokemondb.net/sprites/home/normal/kingler.png,"[4, 124, 201]",[201 171 146]
100,100_0,voltorb,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/voltorb.png,"[255, 255, 0]",[209 210 210]
100,100_1,voltorb-hisuian,8,electric,grass,2,https://img.pokemondb.net/sprites/home/normal/voltorb-hisuian.png,"[255, 255, 0]",[208 159 119]
101,101_0,electrode,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/electrode.png,"[255, 255, 0]",[222 224 222]
101,101_1,electrode-hisuian,8,electric,grass,2,https://img.pokemondb.net/sprites/home/normal/electrode-hisuian.png,"[255, 255, 0]",[204 162 119]
102,102_0,exeggcute,1,grass,psychic,2,https://img.pokemondb.net/sprites/home/normal/exeggcute.png,"[0, 100, 0]",[223 186 192]
103,103_0,exeggutor,1,grass,psychic,2,https://img.pokemondb.net/sprites/home/normal/exeggutor.png,"[0, 100, 0]",[ 77 152  52]
103,103_1,exeggutor-alolan,7,grass,dragon,2,https://img.pokemondb.net/sprites/home/normal/exeggutor-alolan.png,"[0, 100, 0]",[182 147 118]
104,104_0,cubone,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/cubone.png,"[204, 164, 0]",[181 181 185]
105,105_0,marowak,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/marowak.png,"[204, 164, 0]",[208 208 207]
105,105_1,marowak-alolan,7,fire,ghost,2,https://img.pokemondb.net/sprites/home/normal/marowak-alolan.png,"[255, 0, 0]",[178 176 178]
106,106_0,hitmonlee,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hitmonlee.png,"[136, 84, 11]",[188 168 131]
107,107_0,hitmonchan,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/hitmonchan.png,"[136, 84, 11]",[210 201 208]
108,108_0,lickitung,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/lickitung.png,"[211, 211, 211]",[204 166 173]
109,109_0,koffing,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/koffing.png,"[97, 64, 81]",[147 148 191]
110,110_0,weezing,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/weezing.png,"[97, 64, 81]",[181 166 181]
110,110_1,weezing-galarian,8,poison,fairy,2,https://img.pokemondb.net/sprites/home/normal/weezing-galarian.png,"[97, 64, 81]",[160 162 163]
111,111_0,rhyhorn,1,ground,rock,2,https://img.pokemondb.net/sprites/home/normal/rhyhorn.png,"[204, 164, 0]",[169 182 199]
112,112_0,rhydon,1,ground,rock,2,https://img.pokemondb.net/sprites/home/normal/rhydon.png,"[204, 164, 0]",[169 180 193]
113,113_0,chansey,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/chansey.png,"[211, 211, 211]",[213 154 172]
114,114_0,tangela,1,grass,,1,https://img.pokemondb.net/sprites/home/normal/tangela.png,"[0, 100, 0]",[ 61 137 204]
115,115_0,kangaskhan,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/kangaskhan.png,"[211, 211, 211]",[168 124  85]
116,116_0,horsea,1,water,,1,https://img.pokemondb.net/sprites/home/normal/horsea.png,"[4, 124, 201]",[115 179 206]
117,117_0,seadra,1,water,,1,https://img.pokemondb.net/sprites/home/normal/seadra.png,"[4, 124, 201]",[192 201 202]
118,118_0,goldeen,1,water,,1,https://img.pokemondb.net/sprites/home/normal/goldeen.png,"[4, 124, 201]",[223 223 222]
119,119_0,seaking,1,water,,1,https://img.pokemondb.net/sprites/home/normal/seaking.png,"[4, 124, 201]",[214 212 213]
120,120_0,staryu,1,water,,1,https://img.pokemondb.net/sprites/home/normal/staryu.png,"[4, 124, 201]",[185 145  92]
121,121_0,starmie,1,water,psychic,2,https://img.pokemondb.net/sprites/home/normal/starmie.png,"[4, 124, 201]",[160 160 209]
122,122_0,mr-mime,1,psychic,fairy,2,https://img.pokemondb.net/sprites/home/normal/mr-mime.png,"[255, 105, 180]",[198 185 181]
122,122_1,mr-mime-galarian,8,ice,psychic,2,https://img.pokemondb.net/sprites/home/normal/mr-mime-galarian.png,"[135, 206, 235]",[212 209 210]
123,123_0,scyther,1,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/scyther.png,"[204, 204, 0]",[128 177 111]
124,124_0,jynx,1,ice,psychic,2,https://img.pokemondb.net/sprites/home/normal/jynx.png,"[135, 206, 235]",[199  39  44]
125,125_0,electabuzz,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/electabuzz.png,"[255, 255, 0]",[208 199 174]
126,126_0,magmar,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/magmar.png,"[255, 0, 0]",[207 139 121]
127,127_0,pinsir,1,bug,,1,https://img.pokemondb.net/sprites/home/normal/pinsir.png,"[204, 204, 0]",[169 141 129]
128,128_0,tauros,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/tauros.png,"[211, 211, 211]",[146 145 144]
128,128_1,tauros-paldean,1,fighting,,1,https://img.pokemondb.net/sprites/home/normal/tauros-paldean.png,"[136, 84, 11]",[97 97 97]
128,128_2,tauros-paldean,9,fighting,fire,2,https://img.pokemondb.net/sprites/home/normal/tauros-paldean.png,"[136, 84, 11]",[95 95 95]
128,128_3,tauros-paldean,9,fighting,water,2,https://img.pokemondb.net/sprites/home/normal/tauros-paldean.png,"[136, 84, 11]",[97 97 97]
129,129_0,magikarp,1,water,,1,https://img.pokemondb.net/sprites/home/normal/magikarp.png,"[4, 124, 201]",[214 207 211]
130,130_0,gyarados,1,water,flying,2,https://img.pokemondb.net/sprites/home/normal/gyarados.png,"[4, 124, 201]",[191 198 202]
131,131_0,lapras,1,water,ice,2,https://img.pokemondb.net/sprites/home/normal/lapras.png,"[4, 124, 201]",[203 195 184]
132,132_0,ditto,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/ditto.png,"[211, 211, 211]",[163 146 191]
133,133_0,eevee,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/eevee.png,"[211, 211, 211]",[211 206 180]
134,134_0,vaporeon,1,water,,1,https://img.pokemondb.net/sprites/home/normal/vaporeon.png,"[4, 124, 201]",[209 211 198]
135,135_0,jolteon,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/jolteon.png,"[255, 255, 0]",[215 213 205]
136,136_0,flareon,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/flareon.png,"[255, 0, 0]",[221 210 131]
137,137_0,porygon,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/porygon.png,"[211, 211, 211]",[141 202 204]
138,138_0,omanyte,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/omanyte.png,"[128, 109, 0]",[190 164 122]
139,139_0,omastar,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/omastar.png,"[128, 109, 0]",[184 161 123]
140,140_0,kabuto,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/kabuto.png,"[128, 109, 0]",[178 143  58]
141,141_0,kabutops,1,rock,water,2,https://img.pokemondb.net/sprites/home/normal/kabutops.png,"[128, 109, 0]",[188 190 192]
142,142_0,aerodactyl,1,rock,flying,2,https://img.pokemondb.net/sprites/home/normal/aerodactyl.png,"[128, 109, 0]",[147 122 159]
143,143_0,snorlax,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/snorlax.png,"[211, 211, 211]",[ 74 131 153]
144,144_0,articuno,1,ice,flying,2,https://img.pokemondb.net/sprites/home/normal/articuno.png,"[135, 206, 235]",[106 176 211]
144,144_1,articuno-galarian,8,psychic,flying,2,https://img.pokemondb.net/sprites/home/normal/articuno-galarian.png,"[255, 105, 180]",[142 135 161]
145,145_0,zapdos,1,electric,flying,2,https://img.pokemondb.net/sprites/home/normal/zapdos.png,"[255, 255, 0]",[212 189 114]
145,145_1,zapdos-galarian,8,fighting,flying,2,https://img.pokemondb.net/sprites/home/normal/zapdos-galarian.png,"[136, 84, 11]",[199 152 130]
146,146_0,moltres,1,fire,flying,2,https://img.pokemondb.net/sprites/home/normal/moltres.png,"[255, 0, 0]",[183 109  67]
146,146_1,moltres-galarian,8,dark,flying,2,https://img.pokemondb.net/sprites/home/normal/moltres-galarian.png,"[31, 16, 8]",[227  69 111]
147,147_0,dratini,1,dragon,,1,https://img.pokemondb.net/sprites/home/normal/dratini.png,"[167, 143, 206]",[200 202 206]
148,148_0,dragonair,1,dragon,,1,https://img.pokemondb.net/sprites/home/normal/dragonair.png,"[167, 143, 206]",[ 57 152 187]
149,149_0,dragonite,1,dragon,flying,2,https://img.pokemondb.net/sprites/home/normal/dragonite.png,"[167, 143, 206]",[214 196 144]
150,150_0,mewtwo,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/mewtwo.png,"[255, 105, 180]",[185 175 185]
151,151_0,mew,1,psychic,,1,https://img.pokemondb.net/sprites/home/normal/mew.png,"[255, 105, 180]",[211 191 196]
152,152_0,chikorita,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/chikorita.png,"[0, 100, 0]",[189 211 157]
153,153_0,bayleef,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/bayleef.png,"[0, 100, 0]",[125 151  87]
154,154_0,meganium,2,grass,,1,https://img.pokemondb.net/sprites/home/normal/meganium.png,"[0, 100, 0]",[170 193 141]
155,155_0,cyndaquil,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/cyndaquil.png,"[255, 0, 0]",[215 205 141]
156,156_0,quilava,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/quilava.png,"[255, 0, 0]",[ 87 147 162]
157,157_0,typhlosion,2,fire,,1,https://img.pokemondb.net/sprites/home/normal/typhlosion.png,"[255, 0, 0]",[217 191 113]
157,157_1,typhlosion-hisuian,8,fire,ghost,2,https://img.pokemondb.net/sprites/home/normal/typhlosion-hisuian.png,"[255, 0, 0]",[215 205 183]
158,158_0,totodile,2,water,,1,https://img.pokemondb.net/sprites/home/normal/totodile.png,"[4, 124, 201]",[141 201 212]
159,159_0,croconaw,2,water,,1,https://img.pokemondb.net/sprites/home/normal/croconaw.png,"[4, 124, 201]",[102 188 208]
160,160_0,feraligatr,2,water,,1,https://img.pokemondb.net/sprites/home/normal/feraligatr.png,"[4, 124, 201]",[211 214 214]
161,161_0,sentret,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/sentret.png,"[211, 211, 211]",[175 152 142]
162,162_0,furret,2,normal,,1,https://img.pokemondb.net/sprites/home/normal/furret.png,"[211, 211, 211]",[196 178 162]
163,163_0,hoothoot,2,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/hoothoot.png,"[211, 211, 211]",[208 199 201]
164,164_0,noctowl,2,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/noctowl.png,"[211, 211, 211]",[86 65 54]
165,165_0,ledyba,2,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/ledyba.png,"[204, 204, 0]",[196 202 197]
166,166_0,ledian,2,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/ledian.png,"[204, 204, 0]",[205 203 204]
167,167_0,spinarak,2,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/spinarak.png,"[204, 204, 0]",[155 196  97]
